timestamp,1,2,3,4,5,6,7,8
1491505383495,0, 2, 5, -3, -1, 0, 1, 1
1491505383508,5, 5, 0, -1, -1, 1, 0, 1
1491505383517,-1, -3, -4, -4, -1, -2, -2, 0
1491505383523,-12, -2, -1, -1, -1, -1, 0, 1
1491505383538,0, -1, -1, -1, -2, 0, -2, -1
1491505383567,-3, 0, -2, -6, -4, 0, 0, -1
1491505383568,2, -7, -5, 10, 3, 0, -2, 1
1491505383569,-2, 1, 0, -2, 0, -3, -1, -3
1491505383570,-2, -5, -7, -3, -3, 0, -1, -1
1491505383579,8, 0, -4, -2, -2, -2, -1, 0
1491505383583,1, 4, 1, -3, 0, -1, 0, -2
1491505383598,-4, -5, -1, 0, -1, 1, 1, -3
1491505383605,1, -3, -3, -1, -2, -3, -1, -1
1491505383613,0, 5, 9, 0, -2, 1, 3, 1
1491505383614,-1, -2, -1, -1, -1, 1, -1, -2
1491505383628,-3, -3, -2, -2, 0, 0, 0, -1
1491505383636,-3, 1, 1, 8, 3, 0, -1, -1
1491505383643,0, 1, -1, -5, -2, -1, 0, -4
1491505383658,-1, 0, 1, -1, -2, -1, 0, -1
1491505383666,-1, -1, 2, 0, -1, -2, -1, -3
1491505383673,-1, -12, -7, 1, 0, 0, -1, 0
1491505383674,-3, 16, 3, -3, -1, -1, -2, -3
1491505383688,0, 0, 2, -2, -1, 1, -2, 1
1491505383698,0, -5, -2, -2, -1, -2, 1, -1
1491505383703,0, 10, 3, 0, 0, -2, 0, -2
1491505383718,-3, -3, -3, -3, -2, -2, -2, 0
1491505383726,-1, -11, 3, -1, -1, 0, 1, 0
1491505383734,0, -5, -7, -6, -1, 0, 0, -1
1491505383748,-2, 2, -3, -2, 0, 0, 1, 1
1491505383757,1, -6, -1, -4, 0, -2, -1, -3
1491505383764,1, 3, 1, 1, -1, -3, 0, -1
1491505383778,6, 0, -2, 1, 0, -2, -1, -1
1491505383786,-2, 7, 6, -1, -1, 0, -2, -2
1491505383794,-2, -3, -1, -3, -2, -1, -2, -4
1491505383808,0, 4, -2, -2, 0, 0, 0, -1
1491505383816,-3, 11, 3, 2, -1, 0, 2, 1
1491505383823,-3, -8, -4, -2, -2, -1, -1, 1
1491505383840,-3, -8, -3, -1, 0, -1, -2, -3
1491505383846,-1, -2, -3, -2, 0, 1, -2, -2
1491505383857,9, -9, -1, 14, 2, 0, 0, 2
1491505383868,2, 3, 5, -2, -2, -2, -3, -3
1491505383876,-5, 3, 5, -5, -2, 0, -1, -1
1491505383883,-2, 6, 4, 1, 2, 1, -1, -1
1491505383884,-3, -7, -6, 1, 1, 0, 0, -1
1491505383898,0, -1, -1, -4, -1, -3, -3, -2
1491505383906,-3, -3, -2, -3, -1, 0, 0, 0
1491505383915,0, -2, -2, -1, 0, -1, -1, 0
1491505383928,1, -1, 0, -2, -1, -1, -1, -1
1491505383936,-6, 14, 3, -5, -3, -1, -1, 0
1491505383943,-1, -2, -3, -1, -1, -2, 0, 1
1491505383958,3, 5, 7, 0, 2, 1, 1, 2
1491505383966,1, -3, -3, 1, -2, 0, -2, -2
1491505383974,-6, -4, -3, -1, -1, -1, -1, -3
1491505383988,-1, -3, -4, -1, 1, -1, 1, -1
1491505383996,-3, -4, -4, -5, 0, 0, -1, -5
1491505384003,-1, -2, -2, -2, -1, -1, -4, -2
1491505384018,0, -4, -4, -1, 0, 0, -1, -1
1491505384026,2, 2, 0, 10, 2, 1, 1, 0
1491505384035,-3, 0, -1, 0, -2, -1, -1, 0
1491505384051,-4, 5, 2, -4, -1, 1, 0, -1
1491505384057,4, 6, 3, 0, 1, -2, 0, 1
1491505384063,-4, -1, 1, 1, -1, -1, -1, -4
1491505384064,0, 1, 3, -2, 0, -1, -1, 1
1491505384078,-3, -9, -5, -4, 0, -2, -2, -2
1491505384086,-2, -8, 0, -1, -1, 0, 0, 1
1491505384095,-2, 0, -2, 0, -2, 0, -1, -3
1491505384108,-4, -6, -9, -3, -1, 1, 0, -4
1491505384116,-2, -8, -9, -8, -4, 2, 1, -2
1491505384123,0, -2, -1, -3, 0, -1, -1, -5
1491505384138,-7, -4, 1, 1, 0, -3, -2, -2
1491505384145,-1, -3, -5, -2, -2, -3, -3, -3
1491505384153,3, 0, 1, 0, 0, -2, 0, 0
1491505384168,-2, -4, 0, -1, -1, 1, 0, 1
1491505384176,1, 1, 1, 2, -1, 1, 0, -1
1491505384184,0, 5, 2, 0, -2, 0, -2, -4
1491505384198,1, -5, -4, 0, 0, 0, 0, 2
1491505384205,-3, 1, -1, -1, -2, -3, -1, 1
1491505384213,1, 3, 0, -4, -4, -2, 0, -4
1491505384228,0, 1, 0, -2, -1, 0, -3, 0
1491505384236,-3, 6, 3, 0, 0, -1, -1, 0
1491505384243,-1, -8, 0, 1, -1, -1, 1, 2
1491505384258,-5, -5, -4, -2, -1, 0, -1, -5
1491505384266,5, 2, -1, 1, 0, -2, -2, -4
1491505384274,4, -5, -5, 1, 1, -2, 0, 1
1491505384288,5, 18, 8, 2, -1, -1, 1, 1
1491505384296,2, 2, 0, 0, -1, -1, -2, -2
1491505384303,1, -2, -2, -2, -2, -2, -1, -2
1491505384318,0, -3, 0, 0, -1, 1, 0, 0
1491505384325,-3, 7, 3, -3, -1, 0, 1, -3
1491505384326,-3, -8, -8, -6, 0, 1, 2, 2
1491505384334,4, -3, -3, -3, 0, -1, -1, -2
1491505384348,-3, -2, -1, -2, -1, -1, -1, -1
1491505384356,-5, -6, -4, 0, -1, 1, -2, 1
1491505384363,-2, -4, -4, -1, -2, -1, -2, 0
1491505384378,-3, -3, -2, 1, 0, 0, 0, -2
1491505384386,-2, -4, -2, 2, 1, -2, 0, -4
1491505384394,-7, -3, 2, 0, -2, 0, 0, 0
1491505384408,-5, -1, 0, -1, 0, 1, -1, -3
1491505384417,1, -3, -2, -2, -3, -2, 0, 0
1491505384430,3, 6, 4, 7, 2, -2, 0, 3
1491505384439,-1, 1, -1, -1, -1, 1, -1, -1
1491505384446,3, -1, -1, 0, -1, 1, -1, -1
1491505384460,-4, -7, -4, -1, -1, 1, 1, 0
1491505384461,0, 5, 2, -1, 0, -1, -1, -2
1491505384468,-1, -3, -2, -2, -1, 0, 0, -1
1491505384478,-6, 1, -2, 0, -1, -1, -2, -7
1491505384490,3, 1, 4, -1, -1, -1, 0, 1
1491505384498,-2, -7, -6, 0, 1, -1, -1, -2
1491505384505,-3, -3, -6, -2, -1, 0, -1, -4
1491505384506,-5, -4, -3, -2, -1, -1, -1, -5
1491505384521,0, -6, 1, -1, -1, 0, 0, 0
1491505384528,0, 0, 1, -2, -1, -2, 0, -1
1491505384536,2, 4, 2, 14, 3, 0, -1, 0
1491505384550,-4, -1, 1, -2, -2, 0, -2, -1
1491505384558,-1, 0, 0, -4, -2, -1, 0, -2
1491505384566,1, 1, -4, 1, 0, 0, -1, -4
1491505384580,6, 5, -2, -2, -4, -1, -2, -2
1491505384588,1, -1, 1, -3, -2, 1, 0, -3
1491505384596,-2, 5, 2, -1, -1, -3, 0, -1
1491505384610,-5, -3, 1, 0, -3, -3, -2, 2
1491505384618,0, -4, -1, -3, 0, -1, -3, -1
1491505384625,-1, -4, -3, 1, 1, 0, 0, 0
1491505384640,-2, -4, -1, 0, -1, 0, 1, 0
1491505384641,-4, 2, 3, 0, -1, -1, -1, 0
1491505384648,0, 4, 1, 6, -1, 1, -1, -1
1491505384656,8, 2, 1, -2, -1, 1, -1, 3
1491505384670,1, -4, -3, -5, -1, -3, 0, 1
1491505384678,-3, -1, 2, 0, -1, 0, 0, -1
1491505384686,1, 2, 3, -3, -1, -1, -1, -1
1491505384700,8, 8, 1, -1, -2, -4, -2, -1
1491505384708,-2, -2, -5, -3, -2, -2, 0, -2
1491505384716,-2, -6, -2, -2, 1, 1, -1, -1
1491505384730,-2, -3, -5, -2, 0, 0, -1, 0
1491505384738,-3, 0, -1, -1, -2, 0, 0, 1
1491505384745,-2, 1, 0, -2, 1, 0, 1, 0
1491505384763,-2, -2, 1, 0, 0, 0, -1, 1
1491505384768,-6, -2, -3, 0, 0, 0, -3, -2
1491505384776,-4, -3, -3, 11, 3, 0, -2, -1
1491505384790,1, 2, 1, 0, 0, 0, -3, 2
1491505384798,-3, 0, -1, -4, -2, -1, 0, -2
1491505384806,-1, -4, -7, 0, -2, 0, 0, -5
1491505384827,-3, -1, 1, -1, -1, -1, -2, -4
1491505384828,0, -1, -3, -2, -2, -2, 0, 2
1491505384829,1, 1, 3, -2, -1, -2, 0, -1
1491505384838,-5, -5, 4, -3, 0, 1, 2, -3
1491505384850,-2, -6, -2, 0, -2, -2, 0, -1
1491505384858,-5, -1, -2, -4, -2, 0, -2, -5
1491505384866,1, 1, 3, -3, 0, -1, -2, -3
1491505384881,1, -2, -3, -2, -2, 0, -1, -3
1491505384890,6, -5, -2, -3, -2, 1, -1, 0
1491505384897,0, -6, -7, 0, 0, -1, 0, 0
1491505384910,-4, -10, -9, -2, 0, -1, 0, -1
1491505384918,1, 2, -3, -7, -1, -3, -1, 0
1491505384926,-5, 2, 0, -1, -2, 0, -1, 0
1491505384941,0, 2, 3, -2, -2, -1, -2, -2
1491505384948,2, 7, 4, 1, 0, -1, -1, -3
1491505384956,2, -2, -2, -1, 0, 0, -1, 1
1491505384972,-2, -2, -3, 0, 0, -1, 0, -5
1491505384978,-8, -5, -2, 1, -1, -2, -1, -5
1491505384986,5, 6, 3, -2, -1, -2, -1, 0
1491505385002,-4, 0, -3, 1, -1, -1, -1, -1
1491505385009,-5, 8, 4, 0, 0, 2, 0, 1
1491505385016,3, 2, 0, 0, -1, 0, -1, 2
1491505385030,0, -6, -4, -5, -1, -2, -1, -1
1491505385040,-3, -1, -2, -4, 0, -2, -2, -2
1491505385046,4, 2, -3, -5, -3, -4, -1, -2
1491505385061,5, 3, 2, 4, -1, 0, 0, -2
1491505385069,-2, -8, -6, 1, 0, 0, 0, -3
1491505385076,-2, -4, 2, 1, -1, -1, 1, 2
1491505385090,8, 3, 2, 1, -1, 0, -1, 1
1491505385099,1, -1, -1, -4, -2, -2, 0, -2
1491505385107,0, -3, 4, 1, -1, -2, -1, -1
1491505385121,0, 9, 6, -3, 0, 1, -1, 0
1491505385128,-1, 2, 1, -3, 0, 1, -1, 1
1491505385136,0, 2, 5, 2, 0, 0, 1, -1
1491505385150,-2, 4, 2, 0, 0, -3, -2, 1
1491505385158,-1, -3, -5, -1, -1, 0, -1, -1
1491505385165,-5, -3, -3, 0, -1, 0, 0, -1
1491505385181,0, -1, 4, 2, 0, 0, 0, 1
1491505385188,-4, -2, -4, 0, -1, -1, -2, -3
